0								0
0								0
29								29
108								108
0								0
0								0
23								23
67								67
75								75
-35								-35
11								11
0								0
56								56
27								27
53								53
0								0
0								0
-68								-68
66								66
62								62
0								0
0								0
0								0
59								59
37								37
105								105
58								58
-111								-111
-114								-114
0								0
0								0
0								0
0								0
-18								-18
48								48
40								40
-28								-28
-14								-14
0								0
0								0
0								0
28								28
0								0
39								39
58								58
0								0
43								43
21								21
-2								-2
0								0
0								0
10								10
0								0
0								0
43								43
0								0
-30								-30
12								12
18								18
0								0
0								0
57								57
0								0
57								57
0								0
0								0
57								57
0								0
0								0
-49								-49
0								0
0								0
10								10
-56								-56
0								0
61								61
35								35
0								0
0								0
0								0
0								0
0								0
36								36
57								57
0								0
17								17
0								0
0								0
0								0
0								0
-47								-47
0								0
0								0
0								0
0								0
-42								-42
0								0
0								0
79								79
0								0
0								0
101								101
0								0
0								0
32								32
62								62
0								0
60								60
0								0
89								89
0								0
0								0
0								0
0								0
0								0
0								0
59								59
-23								-23
-53								-53
0								0
0								0
0								0
40								40
0								0
50								50
46								46
0								0
0								0
6								6
34								34
0								0
50								50
0								0
0								0
79								79
0								0
27								27
0								0
0								0
62								62
63								63
61								61
26								26
0								0
65								65
10								10
0								0
0								0
42								42
0								0
126								126
0								0
0								0
33								33
0								0
-65								-65
0								0
0								0
55								55
92								92
0								0
0								0
0								0
0								0
0								0
48								48
92								92
0								0
0								0
0								0
0								0
-75								-75
0								0
-4								-4
30								30
64								64
0								0
-109								-109
0								0
0								0
0								0
32								32
59								59
0								0
0								0
117								117
0								0
54								54
0								0
0								0
0								0
-105								-105
27								27
0								0
8								8
0								0
0								0
58								58
58								58
0								0
0								0
0								0
35								35
0								0
19								19
88								88
61								61
0								0
0								0
55								55
0								0
0								0
40								40
53								53
0								0
0								0
0								0
0								0
-6								-6
124								124
27								27
22								22
0								0
0								0
56								56
0								0
0								0
0								0
-60								-60
0								0
0								0
20								20
0								0
0								0
0								0
34								34
0								0
55								55
0								0
0								0
22								22
0								0
0								0
0								0
0								0
-86								-86
83								83
0								0
0								0
0								0
17								17
0								0
41								41
29								29
-128								-128
0								0
23								23
0								0
0								0
33								33
4								4
63								63
3								3
57								57
0								0
0								0
63								63
-78								-78
26								26
54								54
0								0
-37								-37
18								18
0								0
31								31
0								0
0								0
0								0
1								1
0								0
7								7
0								0
-5								-5
27								27
-31								-31
0								0
0								0
105								105
58								58
48								48
-82								-82
0								0
0								0
27								27
0								0
0								0
3								3
40								40
0								0
0								0
19								19
0								0
0								0
41								41
0								0
-3								-3
0								0
27								27
-35								-35
0								0
0								0
19								19
56								56
-39								-39
8								8
0								0
0								0
46								46
68								68
0								0
51								51
0								0
39								39
